id,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
381,<0,6,existing paid,radio/tv,886,100<=X<500,1<=X<4,1,male single,none,4,life insurance,33,stores,own,1,unskilled resident,1,none,yes,good
382,<0,6,critical/other existing credit,radio/tv,2622,no known savings,1<=X<4,2,male single,none,2,real estate,44,bank,own,1,skilled,1,none,yes,good
383,>=200,12,all paid,retraining,8648,100<=X<500,<1,4,female div/dep/mar,none,3,real estate,25,stores,rent,1,unskilled resident,1,none,yes,bad
384,<0,6,delayed previously,business,1881,no known savings,4<=X<7,1,male single,none,4,real estate,26,none,own,1,skilled,2,yes,yes,good
385,no checking,15,critical/other existing credit,furniture/equipment,1207,no known savings,1<=X<4,3,male single,none,1,real estate,43,bank,own,1,unskilled resident,1,yes,yes,bad
386,>=200,18,no credits/all paid,retraining,3844,no known savings,1<=X<4,4,female div/dep/mar,none,2,life insurance,47,none,rent,1,high qualif/self emp/mgmt,2,none,yes,good
387,0<=X<200,9,existing paid,education,1244,<100,4<=X<7,3,male single,none,4,real estate,26,none,own,2,skilled,1,yes,yes,good
388,0<=X<200,24,existing paid,furniture/equipment,7582,>=1000,>=7,3,male single,none,2,life insurance,36,stores,own,2,skilled,1,none,yes,bad
389,no checking,12,critical/other existing credit,radio/tv,1278,<100,>=7,2,male single,none,2,real estate,24,none,own,1,skilled,1,none,yes,bad
390,no checking,14,existing paid,furniture/equipment,882,<100,<1,4,male single,none,4,life insurance,30,none,own,1,skilled,1,none,yes,good
391,0<=X<200,18,critical/other existing credit,radio/tv,654,<100,>=7,3,female div/dep/mar,none,1,car,24,none,own,1,skilled,1,none,yes,good
392,<0,12,all paid,radio/tv,3973,<100,unemployed,4,male single,none,2,life insurance,32,none,for free,1,skilled,2,none,yes,good
393,no checking,18,existing paid,new car,929,no known savings,1<=X<4,3,male single,none,1,no known property,27,none,for free,1,high qualif/self emp/mgmt,1,none,yes,bad
394,0<=X<200,12,existing paid,education,2302,<100,>=7,4,female div/dep/mar,guarantor,2,life insurance,44,bank,rent,1,skilled,1,none,yes,bad
395,no checking,42,existing paid,education,2775,no known savings,>=7,1,male mar/wid,none,4,real estate,43,none,own,1,skilled,1,yes,no,good
396,no checking,9,critical/other existing credit,business,2647,<100,1<=X<4,1,male mar/wid,none,4,car,37,none,rent,1,unskilled resident,1,none,no,good
397,0<=X<200,12,critical/other existing credit,business,5103,<100,<1,4,male single,none,4,real estate,35,none,own,2,unskilled resident,1,none,yes,good
398,no checking,15,critical/other existing credit,furniture/equipment,4280,<100,>=7,1,male single,guarantor,4,real estate,35,none,own,2,unskilled resident,1,yes,yes,good
399,no checking,30,delayed previously,radio/tv,6579,<100,<1,4,male single,none,2,real estate,29,none,own,2,skilled,1,none,yes,good
400,no checking,48,existing paid,new car,1316,100<=X<500,1<=X<4,4,male mar/wid,none,4,life insurance,38,none,own,1,unskilled resident,1,none,yes,bad
401,no checking,18,critical/other existing credit,radio/tv,1498,<100,<1,4,male single,none,4,real estate,31,none,own,2,skilled,1,yes,yes,good
402,no checking,48,all paid,furniture/equipment,3029,<100,1<=X<4,4,male single,none,4,car,21,none,rent,2,unskilled resident,2,yes,yes,good
403,<0,24,existing paid,furniture/equipment,1647,<100,1<=X<4,1,male single,none,3,car,52,none,rent,1,unskilled resident,2,none,yes,good
404,no checking,21,critical/other existing credit,new car,654,<100,>=7,4,female div/dep/mar,guarantor,2,life insurance,39,none,own,2,skilled,1,none,yes,good
405,0<=X<200,18,existing paid,used car,4113,500<=X<1000,<1,4,male single,none,4,life insurance,22,none,own,1,skilled,1,none,yes,bad
406,0<=X<200,30,existing paid,repairs,5511,<100,unemployed,3,male div/sep,none,4,no known property,39,none,rent,1,skilled,1,yes,yes,bad
407,0<=X<200,15,existing paid,furniture/equipment,10722,<100,>=7,2,male single,none,3,car,44,none,own,2,skilled,1,none,yes,good
408,no checking,24,no credits/all paid,furniture/equipment,15945,<100,1<=X<4,1,female div/dep/mar,none,2,no known property,28,bank,own,1,skilled,1,none,yes,good
409,<0,36,delayed previously,new car,3031,<100,<1,4,male single,none,4,real estate,55,none,rent,1,unskilled resident,2,yes,yes,good
410,<0,15,no credits/all paid,furniture/equipment,1237,no known savings,unemployed,1,male single,none,2,car,52,none,rent,1,skilled,2,none,yes,good
411,<0,12,existing paid,radio/tv,951,<100,unemployed,2,male single,none,1,real estate,43,bank,rent,1,skilled,1,yes,yes,good
412,0<=X<200,48,existing paid,furniture/equipment,7966,<100,1<=X<4,3,male single,none,4,real estate,63,none,own,1,unskilled resident,1,none,no,good
413,0<=X<200,9,existing paid,new car,1207,no known savings,>=7,2,male single,none,4,real estate,34,none,rent,1,skilled,1,yes,yes,good
414,no checking,36,existing paid,furniture/equipment,2964,<100,1<=X<4,1,female div/dep/mar,none,2,no known property,47,none,own,2,skilled,2,yes,yes,good
415,>=200,36,existing paid,new car,2302,>=1000,>=7,4,male single,none,4,car,28,none,rent,2,skilled,1,yes,yes,good
416,0<=X<200,24,critical/other existing credit,new car,7763,<100,4<=X<7,4,female div/dep/mar,none,3,no known property,42,none,for free,1,unskilled resident,1,yes,yes,good
417,0<=X<200,60,delayed previously,business,343,100<=X<500,<1,3,male single,none,2,life insurance,36,none,own,1,skilled,2,none,yes,bad
418,0<=X<200,6,delayed previously,used car,7824,no known savings,>=7,2,male single,none,2,no known property,60,none,own,1,skilled,2,none,yes,good
419,<0,18,existing paid,radio/tv,1413,100<=X<500,1<=X<4,2,male single,none,4,real estate,20,none,own,2,skilled,1,none,yes,bad
420,no checking,12,existing paid,used car,7678,<100,1<=X<4,4,male single,none,1,real estate,39,bank,for free,1,skilled,1,none,yes,bad
421,0<=X<200,48,critical/other existing credit,repairs,2366,<100,>=7,4,male single,none,4,real estate,35,none,rent,2,skilled,1,none,yes,bad
422,no checking,15,critical/other existing credit,business,3578,<100,>=7,4,female div/dep/mar,none,2,life insurance,23,none,rent,1,unskilled resident,1,none,yes,good
423,no checking,12,existing paid,retraining,1330,<100,>=7,2,male single,none,3,car,37,none,own,1,unskilled resident,2,none,yes,good
424,0<=X<200,4,no credits/all paid,used car,4933,500<=X<1000,4<=X<7,2,male single,none,2,no known property,31,bank,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
425,0<=X<200,21,existing paid,furniture/equipment,3959,100<=X<500,1<=X<4,2,female div/dep/mar,none,4,no known property,31,none,own,2,skilled,1,yes,yes,good
426,>=200,36,existing paid,new car,1352,<100,1<=X<4,4,male single,co applicant,2,car,43,none,own,3,skilled,2,yes,yes,good
427,no checking,24,existing paid,new car,433,no known savings,1<=X<4,2,male mar/wid,none,4,car,34,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
428,<0,36,existing paid,radio/tv,683,<100,<1,4,female div/dep/mar,none,1,no known property,25,none,own,1,skilled,1,yes,yes,good
429,no checking,4,existing paid,furniture/equipment,1331,>=1000,>=7,2,female div/dep/mar,none,4,life insurance,51,none,rent,1,skilled,2,yes,yes,good
430,no checking,9,existing paid,other,1808,<100,unemployed,3,male mar/wid,none,4,car,49,stores,rent,2,skilled,1,yes,yes,good
431,<0,21,critical/other existing credit,business,6615,<100,1<=X<4,4,female div/dep/mar,none,3,real estate,54,none,for free,1,skilled,2,yes,yes,good
432,no checking,13,critical/other existing credit,used car,1647,no known savings,unemployed,4,male single,none,3,real estate,48,none,rent,2,unskilled resident,1,none,yes,bad
433,no checking,18,existing paid,new car,7253,<100,1<=X<4,4,male single,none,4,life insurance,28,bank,own,2,unskilled resident,1,yes,yes,good
434,no checking,16,delayed previously,used car,1199,<100,1<=X<4,2,male mar/wid,none,4,real estate,31,none,own,1,unemp/unskilled non res,2,none,yes,good
435,0<=X<200,24,critical/other existing credit,repairs,4297,<100,4<=X<7,4,male single,none,1,no known property,26,none,own,2,skilled,1,none,yes,good
436,0<=X<200,6,critical/other existing credit,business,1345,no known savings,<1,1,female div/dep/mar,none,4,real estate,45,none,own,2,skilled,2,yes,yes,good
437,no checking,48,existing paid,furniture/equipment,1391,<100,1<=X<4,2,male single,none,2,no known property,31,none,for free,1,skilled,1,yes,yes,good
438,no checking,18,existing paid,radio/tv,1283,>=1000,4<=X<7,4,male single,none,4,real estate,24,none,own,1,unskilled resident,1,yes,yes,bad
439,no checking,9,existing paid,furniture/equipment,2146,100<=X<500,1<=X<4,4,male mar/wid,none,2,car,34,none,own,1,skilled,1,none,yes,good
440,no checking,48,critical/other existing credit,new car,2051,<100,1<=X<4,4,male mar/wid,none,2,real estate,74,stores,own,2,unskilled resident,1,none,yes,bad
441,<0,24,critical/other existing credit,radio/tv,759,<100,1<=X<4,4,male single,none,4,life insurance,35,none,own,1,unskilled resident,1,none,yes,good
442,no checking,18,critical/other existing credit,education,4042,<100,>=7,2,female div/dep/mar,none,3,real estate,32,stores,for free,1,skilled,1,none,yes,good
443,>=200,6,existing paid,education,1471,500<=X<1000,1<=X<4,4,female div/dep/mar,none,2,car,35,none,for free,1,skilled,1,none,yes,bad
444,no checking,6,existing paid,furniture/equipment,3976,100<=X<500,1<=X<4,4,female div/dep/mar,none,2,car,24,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good
445,no checking,30,existing paid,new car,4280,<100,1<=X<4,4,female div/dep/mar,guarantor,3,car,38,none,own,1,skilled,1,yes,yes,bad
446,<0,9,existing paid,used car,3060,100<=X<500,<1,2,male mar/wid,none,4,real estate,24,none,own,1,skilled,1,none,yes,good
447,0<=X<200,21,existing paid,furniture/equipment,2439,<100,1<=X<4,4,male single,none,2,real estate,29,none,rent,2,skilled,1,none,yes,good
448,no checking,6,existing paid,used car,609,<100,1<=X<4,3,female div/dep/mar,none,2,car,60,none,own,2,skilled,1,none,yes,good
449,no checking,20,existing paid,new car,1393,<100,<1,4,male div/sep,none,4,real estate,25,none,own,1,skilled,2,none,yes,good
450,<0,36,existing paid,education,1530,<100,>=7,2,male single,none,4,life insurance,23,none,own,1,unskilled resident,1,none,yes,good
451,<0,24,critical/other existing credit,business,2384,500<=X<1000,1<=X<4,4,male mar/wid,none,2,car,25,none,rent,2,unskilled resident,1,yes,yes,good
452,0<=X<200,12,existing paid,new car,1330,500<=X<1000,>=7,1,male single,none,1,real estate,41,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
453,0<=X<200,12,existing paid,used car,1941,<100,>=7,2,female div/dep/mar,none,3,car,32,none,rent,2,skilled,2,none,yes,bad
454,no checking,48,critical/other existing credit,furniture/equipment,9283,<100,<1,2,male single,none,2,life insurance,37,none,own,2,skilled,1,none,yes,good
455,no checking,36,existing paid,new car,3777,>=1000,>=7,3,male mar/wid,none,2,life insurance,32,none,own,2,skilled,1,yes,yes,good
456,0<=X<200,6,delayed previously,new car,1238,<100,<1,3,female div/dep/mar,guarantor,3,life insurance,24,none,own,2,skilled,1,none,yes,good
457,no checking,27,critical/other existing credit,radio/tv,3104,<100,1<=X<4,4,male single,none,2,real estate,21,none,for free,1,skilled,1,yes,yes,good
458,no checking,33,critical/other existing credit,furniture/equipment,10297,100<=X<500,1<=X<4,4,male single,none,4,real estate,29,none,own,1,skilled,2,none,yes,good
459,>=200,18,existing paid,used car,1374,100<=X<500,1<=X<4,2,male single,none,2,no known property,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
460,<0,12,existing paid,used car,2910,<100,1<=X<4,2,female div/dep/mar,none,1,car,31,none,own,1,skilled,1,yes,yes,good
461,no checking,12,existing paid,radio/tv,1213,<100,1<=X<4,1,male single,none,3,real estate,58,bank,own,1,unskilled resident,1,yes,yes,good
462,<0,30,existing paid,education,4623,no known savings,<1,4,male single,none,4,car,21,bank,own,3,skilled,1,none,yes,good
463,0<=X<200,27,existing paid,repairs,3108,no known savings,4<=X<7,3,female div/dep/mar,none,2,real estate,24,stores,own,1,unskilled resident,1,none,yes,bad
464,<0,33,existing paid,new car,700,500<=X<1000,>=7,4,male single,none,4,car,22,none,rent,1,skilled,1,yes,yes,good
465,<0,36,existing paid,new car,652,no known savings,1<=X<4,3,male mar/wid,none,4,no known property,33,none,rent,2,skilled,1,none,yes,bad
466,0<=X<200,12,existing paid,new car,1199,no known savings,1<=X<4,1,male mar/wid,guarantor,2,life insurance,27,none,rent,1,skilled,1,none,yes,bad
467,no checking,24,critical/other existing credit,used car,4153,<100,<1,3,male single,none,4,real estate,26,stores,own,3,skilled,1,yes,yes,good
468,<0,48,critical/other existing credit,furniture/equipment,1154,100<=X<500,1<=X<4,1,male single,none,3,real estate,31,none,for free,1,skilled,1,none,no,good
469,<0,18,no credits/all paid,retraining,1867,<100,unemployed,4,male single,co applicant,3,car,35,none,own,1,skilled,2,yes,yes,good
470,no checking,24,delayed previously,radio/tv,1552,<100,<1,3,male mar/wid,none,4,life insurance,39,none,own,1,skilled,2,none,yes,bad
471,<0,18,existing paid,furniture/equipment,1977,<100,4<=X<7,2,male single,none,1,car,59,none,for free,4,skilled,1,none,yes,good
472,0<=X<200,15,existing paid,furniture/equipment,2580,<100,>=7,2,female div/dep/mar,none,2,real estate,33,none,own,2,unskilled resident,1,none,yes,bad
473,0<=X<200,24,delayed previously,business,1591,no known savings,1<=X<4,2,female div/dep/mar,none,1,car,37,none,own,3,high qualif/self emp/mgmt,1,yes,yes,bad
474,<0,12,critical/other existing credit,radio/tv,1198,<100,1<=X<4,4,male single,none,2,car,41,none,own,1,skilled,1,none,yes,bad
475,>=200,36,critical/other existing credit,business,1418,100<=X<500,>=7,4,male single,none,2,car,39,none,own,1,skilled,1,yes,yes,good
476,no checking,9,existing paid,furniture/equipment,874,<100,1<=X<4,3,male single,none,4,life insurance,49,none,own,2,skilled,1,none,yes,good
477,no checking,24,existing paid,new car,7374,<100,<1,2,female div/dep/mar,none,4,car,63,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
478,>=200,24,existing paid,radio/tv,2671,<100,<1,4,male single,guarantor,4,life insurance,26,none,own,1,unskilled resident,1,yes,yes,bad
479,no checking,24,critical/other existing credit,radio/tv,10961,<100,>=7,2,female div/dep/mar,none,4,car,23,none,for free,1,skilled,1,none,yes,bad
480,no checking,10,existing paid,new car,428,no known savings,<1,4,male mar/wid,none,4,life insurance,38,bank,own,3,skilled,1,yes,yes,good
481,no checking,10,all paid,radio/tv,3758,100<=X<500,1<=X<4,4,female div/dep/mar,none,3,car,26,none,own,1,skilled,1,none,yes,bad
482,0<=X<200,12,all paid,furniture/equipment,3535,500<=X<1000,1<=X<4,3,male div/sep,none,3,real estate,30,stores,own,1,skilled,1,none,yes,bad
483,no checking,15,critical/other existing credit,education,1377,<100,1<=X<4,2,male single,none,4,no known property,42,none,own,1,unskilled resident,1,none,yes,good
484,>=200,15,existing paid,radio/tv,888,no known savings,>=7,4,male single,none,2,car,26,stores,for free,1,high qualif/self emp/mgmt,1,none,yes,bad
485,0<=X<200,12,existing paid,new car,3448,<100,4<=X<7,2,male single,none,2,real estate,31,none,own,1,skilled,1,none,yes,good
486,>=200,12,existing paid,new car,700,<100,1<=X<4,2,male single,none,4,life insurance,29,none,own,1,skilled,1,yes,yes,bad
487,no checking,12,no credits/all paid,used car,640,<100,<1,1,male mar/wid,none,4,life insurance,35,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
488,<0,24,delayed previously,used car,7629,no known savings,>=7,4,male single,none,2,real estate,41,none,own,1,unskilled resident,1,yes,yes,good
489,no checking,18,existing paid,furniture/equipment,1620,<100,unemployed,2,male single,none,4,car,25,none,own,2,unskilled resident,1,none,yes,bad
490,<0,12,critical/other existing credit,new car,731,>=1000,1<=X<4,4,male single,none,2,real estate,60,none,own,2,skilled,1,none,yes,bad
491,no checking,30,existing paid,furniture/equipment,4113,<100,>=7,4,male single,co applicant,2,real estate,36,none,for free,2,skilled,1,yes,yes,good
492,<0,15,critical/other existing credit,new car,1512,no known savings,1<=X<4,4,male single,none,2,car,29,none,own,1,skilled,1,none,yes,bad
493,<0,6,critical/other existing credit,new car,7763,<100,>=7,2,male single,none,2,real estate,26,none,own,2,unskilled resident,1,yes,yes,bad
494,no checking,12,existing paid,new car,2577,<100,>=7,1,male single,none,1,car,34,none,own,1,skilled,1,yes,yes,good
495,<0,12,existing paid,education,10623,<100,>=7,4,male single,none,1,life insurance,38,none,own,1,unskilled resident,1,yes,yes,good
496,no checking,24,existing paid,new car,2647,<100,1<=X<4,3,female div/dep/mar,none,3,real estate,38,none,own,1,unskilled resident,1,yes,yes,good
497,<0,24,existing paid,new car,1957,<100,>=7,1,male single,none,3,car,33,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
498,<0,9,existing paid,new car,717,<100,1<=X<4,4,male single,none,1,real estate,39,none,for free,1,skilled,1,yes,yes,bad
499,no checking,12,existing paid,used car,15653,no known savings,<1,4,male div/sep,guarantor,3,no known property,34,none,own,1,unskilled resident,1,none,yes,good
500,0<=X<200,48,existing paid,education,1444,<100,<1,3,male single,none,2,life insurance,32,stores,own,1,unskilled resident,1,none,yes,bad
501,0<=X<200,10,critical/other existing credit,radio/tv,5096,<100,1<=X<4,4,male single,none,4,no known property,32,none,own,1,unskilled resident,1,none,yes,good
502,0<=X<200,10,existing paid,used car,2427,no known savings,<1,4,male single,none,2,life insurance,44,none,for free,1,unskilled resident,2,none,yes,good
503,<0,10,critical/other existing credit,radio/tv,6468,<100,<1,4,male single,none,4,real estate,24,none,own,2,unskilled resident,2,yes,yes,good
504,no checking,30,critical/other existing credit,new car,1225,no known savings,4<=X<7,4,female div/dep/mar,none,1,real estate,20,none,rent,1,skilled,1,yes,yes,good
505,no checking,12,critical/other existing credit,radio/tv,1603,<100,>=7,2,male single,none,4,real estate,25,none,own,2,unskilled resident,1,none,yes,bad
506,<0,24,existing paid,radio/tv,7253,<100,<1,2,male single,co applicant,2,car,37,none,own,1,skilled,1,none,yes,good
507,no checking,47,existing paid,radio/tv,2848,100<=X<500,1<=X<4,4,male single,none,3,real estate,46,none,own,1,skilled,1,none,yes,good
508,0<=X<200,24,critical/other existing credit,used car,3758,500<=X<1000,4<=X<7,2,female div/dep/mar,none,2,car,30,none,own,1,unskilled resident,1,none,yes,good
509,0<=X<200,36,existing paid,furniture/equipment,6842,500<=X<1000,<1,3,male single,guarantor,4,real estate,46,none,own,1,unskilled resident,1,yes,yes,good
510,0<=X<200,36,existing paid,radio/tv,7432,<100,<1,3,male mar/wid,none,2,car,35,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
511,0<=X<200,60,existing paid,new car,1924,100<=X<500,>=7,4,male single,none,3,real estate,20,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
512,<0,18,existing paid,new car,6289,<100,1<=X<4,1,male single,none,4,car,60,none,own,1,skilled,1,none,no,good
513,no checking,36,critical/other existing credit,radio/tv,6229,no known savings,4<=X<7,4,female div/dep/mar,none,4,real estate,30,none,rent,1,skilled,1,none,yes,good
514,>=200,6,existing paid,business,3229,no known savings,1<=X<4,2,male single,none,2,car,26,stores,for free,1,skilled,1,yes,yes,good
515,0<=X<200,18,existing paid,new car,6288,<100,4<=X<7,4,male single,none,1,no known property,57,bank,rent,1,high qualif/self emp/mgmt,1,none,yes,bad
516,<0,9,existing paid,radio/tv,12680,100<=X<500,4<=X<7,4,female div/dep/mar,none,4,real estate,24,none,rent,2,skilled,1,yes,yes,good
517,0<=X<200,24,existing paid,radio/tv,936,<100,>=7,2,female div/dep/mar,none,4,real estate,57,none,own,1,skilled,1,yes,yes,bad
518,<0,24,critical/other existing credit,business,1919,>=1000,<1,4,female div/dep/mar,none,4,real estate,26,bank,for free,2,skilled,1,none,yes,good
519,<0,18,critical/other existing credit,new car,1797,<100,1<=X<4,4,male mar/wid,none,4,real estate,33,bank,own,1,skilled,1,yes,yes,good
520,<0,12,existing paid,business,886,100<=X<500,1<=X<4,4,female div/dep/mar,none,4,car,29,none,own,1,unskilled resident,1,yes,no,good
521,<0,24,critical/other existing credit,used car,428,no known savings,1<=X<4,4,female div/dep/mar,guarantor,4,car,45,none,for free,1,skilled,2,none,yes,good
522,0<=X<200,36,critical/other existing credit,radio/tv,1185,no known savings,4<=X<7,4,male single,none,4,car,55,none,own,2,skilled,1,none,yes,good
523,<0,24,critical/other existing credit,new car,1409,<100,<1,3,male single,none,1,life insurance,26,none,for free,1,skilled,1,none,yes,good
524,no checking,24,no credits/all paid,radio/tv,3384,<100,<1,4,female div/dep/mar,none,3,car,31,none,own,2,skilled,2,none,yes,good
525,<0,24,existing paid,repairs,3757,>=1000,<1,1,male single,none,2,real estate,34,none,own,1,skilled,1,yes,yes,good
526,>=200,48,critical/other existing credit,furniture/equipment,1569,no known savings,>=7,1,male single,none,4,real estate,34,none,own,2,skilled,1,none,yes,good
527,no checking,48,critical/other existing credit,radio/tv,2389,<100,<1,1,male single,none,2,car,41,none,own,3,unskilled resident,2,none,yes,good
528,>=200,12,existing paid,furniture/equipment,1126,500<=X<1000,>=7,4,male single,none,4,car,57,none,rent,1,unskilled resident,2,none,yes,good
529,<0,12,existing paid,furniture/equipment,1262,>=1000,1<=X<4,4,male single,none,2,life insurance,39,none,own,2,skilled,2,none,yes,bad
530,<0,24,existing paid,new car,1381,>=1000,>=7,2,female div/dep/mar,none,3,real estate,32,bank,own,1,unskilled resident,1,none,yes,good
531,<0,18,critical/other existing credit,new car,1538,<100,>=7,3,male single,none,1,no known property,46,bank,own,3,skilled,1,yes,yes,good
532,<0,12,existing paid,furniture/equipment,1582,no known savings,4<=X<7,4,male mar/wid,none,4,life insurance,36,none,own,2,skilled,1,none,yes,good
533,no checking,12,critical/other existing credit,new car,1592,<100,1<=X<4,3,male div/sep,none,2,real estate,29,bank,rent,2,unemp/unskilled non res,1,none,yes,bad
534,no checking,9,no credits/all paid,other,6967,<100,4<=X<7,4,female div/dep/mar,none,4,life insurance,55,none,own,2,skilled,1,yes,yes,good
535,0<=X<200,6,existing paid,furniture/equipment,3835,<100,1<=X<4,1,male single,none,2,life insurance,28,none,for free,2,unskilled resident,1,yes,yes,good
536,no checking,12,critical/other existing credit,radio/tv,1318,no known savings,unemployed,4,female div/dep/mar,co applicant,1,car,34,none,own,1,skilled,1,yes,yes,good
537,no checking,18,existing paid,used car,783,<100,1<=X<4,4,female div/dep/mar,none,1,real estate,54,bank,own,3,skilled,1,none,yes,good
538,0<=X<200,24,all paid,furniture/equipment,1957,<100,1<=X<4,1,male single,none,1,life insurance,36,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad
539,no checking,24,delayed previously,furniture/equipment,626,100<=X<500,1<=X<4,4,female div/dep/mar,none,2,life insurance,37,none,own,1,skilled,1,yes,yes,good
540,0<=X<200,6,all paid,radio/tv,2181,<100,4<=X<7,2,male single,none,4,real estate,25,bank,rent,1,skilled,1,none,yes,good
541,no checking,24,delayed previously,new car,741,<100,<1,1,male single,none,2,no known property,42,none,rent,1,unskilled resident,1,none,yes,bad
542,no checking,15,existing paid,new car,836,<100,4<=X<7,4,male single,none,4,car,49,none,own,3,skilled,1,none,no,bad
543,no checking,24,delayed previously,radio/tv,3394,<100,>=7,1,male single,none,4,car,42,none,own,2,unskilled resident,1,yes,yes,good
544,<0,36,critical/other existing credit,radio/tv,3416,>=1000,<1,3,female div/dep/mar,none,4,no known property,21,bank,own,2,skilled,1,yes,yes,good
545,<0,42,critical/other existing credit,radio/tv,1585,<100,<1,2,male single,none,3,car,40,none,own,1,unskilled resident,2,none,yes,good
546,no checking,9,delayed previously,new car,860,<100,1<=X<4,3,female div/dep/mar,none,4,no known property,35,bank,rent,1,skilled,1,none,yes,good
547,0<=X<200,15,existing paid,furniture/equipment,4281,<100,<1,4,female div/dep/mar,none,2,real estate,26,none,for free,4,skilled,1,none,yes,good
548,no checking,48,existing paid,radio/tv,1533,<100,1<=X<4,3,male single,none,3,real estate,36,none,own,1,unskilled resident,2,none,yes,good
549,no checking,15,critical/other existing credit,furniture/equipment,2675,<100,<1,4,male single,none,4,car,32,none,rent,1,skilled,1,none,yes,good
550,<0,36,critical/other existing credit,repairs,9283,no known savings,4<=X<7,3,male single,none,3,life insurance,30,none,own,2,skilled,1,yes,yes,good
551,<0,12,existing paid,radio/tv,1433,no known savings,unemployed,2,female div/dep/mar,none,4,life insurance,44,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
552,0<=X<200,18,delayed previously,education,13756,<100,4<=X<7,4,male single,none,2,car,24,none,own,2,skilled,1,yes,yes,good
553,<0,36,critical/other existing credit,furniture/equipment,1209,<100,unemployed,4,female div/dep/mar,none,2,car,25,stores,own,2,skilled,1,yes,yes,good
554,<0,6,all paid,radio/tv,14027,<100,>=7,3,male single,none,2,real estate,31,none,own,1,unskilled resident,1,yes,yes,good
555,no checking,9,existing paid,furniture/equipment,2406,<100,unemployed,2,male mar/wid,none,2,no known property,24,none,rent,1,skilled,1,none,yes,good
556,no checking,21,existing paid,radio/tv,2315,<100,1<=X<4,2,female div/dep/mar,none,4,no known property,33,none,own,1,skilled,1,none,yes,bad
557,no checking,24,critical/other existing credit,radio/tv,4736,no known savings,>=7,4,male single,none,4,car,35,none,own,1,skilled,2,yes,yes,bad
558,0<=X<200,30,critical/other existing credit,used car,7882,<100,<1,1,male single,none,2,car,27,none,own,2,unskilled resident,1,none,yes,good
559,<0,6,delayed previously,furniture/equipment,1455,<100,4<=X<7,3,female div/dep/mar,none,4,life insurance,31,bank,rent,2,skilled,1,yes,yes,bad
560,no checking,24,existing paid,new car,9034,<100,4<=X<7,2,female div/dep/mar,none,4,life insurance,35,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
561,no checking,12,existing paid,furniture/equipment,3074,100<=X<500,1<=X<4,2,male single,none,2,real estate,23,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
562,0<=X<200,36,existing paid,new car,2353,<100,unemployed,4,male single,none,2,car,31,none,own,1,skilled,1,none,yes,good
563,<0,21,existing paid,domestic appliance,1567,<100,1<=X<4,1,male mar/wid,co applicant,4,real estate,58,none,for free,1,skilled,1,yes,yes,good
564,<0,24,critical/other existing credit,radio/tv,14896,500<=X<1000,1<=X<4,1,female div/dep/mar,none,4,car,32,none,rent,2,skilled,1,yes,yes,good
565,no checking,24,critical/other existing credit,new car,1512,<100,<1,3,male single,none,2,life insurance,35,none,own,1,skilled,1,none,yes,good
566,<0,48,existing paid,repairs,522,100<=X<500,1<=X<4,2,female div/dep/mar,none,4,real estate,53,none,own,2,skilled,1,none,yes,good
567,<0,60,existing paid,used car,2896,<100,>=7,4,male single,guarantor,4,real estate,25,none,rent,1,high qualif/self emp/mgmt,1,none,yes,bad
568,0<=X<200,18,critical/other existing credit,used car,11560,100<=X<500,1<=X<4,2,male single,none,1,real estate,50,bank,for free,2,skilled,1,yes,yes,good
569,no checking,10,existing paid,radio/tv,3832,<100,>=7,2,male single,guarantor,4,no known property,57,none,own,1,skilled,1,yes,yes,good
570,0<=X<200,24,critical/other existing credit,radio/tv,860,<100,<1,2,female div/dep/mar,none,4,car,64,none,own,2,skilled,1,none,yes,bad
571,no checking,60,delayed previously,furniture/equipment,2100,>=1000,4<=X<7,4,male single,none,4,real estate,23,none,own,1,unskilled resident,1,yes,yes,good
572,no checking,48,critical/other existing credit,radio/tv,999,<100,1<=X<4,4,male single,none,4,no known property,30,none,rent,2,skilled,1,none,yes,good
573,no checking,15,existing paid,radio/tv,717,<100,1<=X<4,4,male single,none,4,car,30,none,rent,2,skilled,1,none,yes,good
574,no checking,39,existing paid,business,1860,<100,4<=X<7,4,male single,none,4,real estate,40,bank,rent,2,unskilled resident,1,none,yes,good
575,0<=X<200,24,delayed previously,furniture/equipment,3448,<100,1<=X<4,2,male div/sep,none,4,real estate,26,none,rent,1,skilled,1,none,yes,good
