id,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
450,no checking,9,existing paid,education,3430,100<=X<500,1<=X<4,3,male single,none,3,real estate,37,none,own,2,skilled,1,yes,yes,good
451,no checking,36,existing paid,radio/tv,2901,<100,>=7,4,female div/dep/mar,none,1,real estate,36,none,rent,2,skilled,1,none,yes,good
452,<0,7,existing paid,new car,2141,<100,4<=X<7,4,male div/sep,guarantor,2,real estate,41,none,own,1,unemp/unskilled non res,1,none,yes,good
453,no checking,12,delayed previously,new car,3441,<100,1<=X<4,4,male div/sep,none,2,real estate,28,none,own,1,unskilled resident,1,none,yes,bad
454,>=200,12,existing paid,furniture/equipment,3384,no known savings,>=7,3,male single,none,2,no known property,25,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
455,0<=X<200,18,existing paid,retraining,2145,<100,4<=X<7,4,female div/dep/mar,none,1,car,47,bank,own,2,skilled,1,none,yes,good
456,no checking,24,existing paid,radio/tv,4675,100<=X<500,1<=X<4,2,male single,none,4,real estate,30,none,own,2,skilled,1,none,yes,good
457,no checking,24,existing paid,other,5293,<100,1<=X<4,4,male mar/wid,guarantor,2,no known property,36,none,own,2,skilled,1,none,yes,bad
458,no checking,6,existing paid,other,1028,<100,1<=X<4,3,female div/dep/mar,none,1,car,39,none,for free,1,high qualif/self emp/mgmt,1,none,yes,good
459,no checking,12,critical/other existing credit,new car,7432,<100,1<=X<4,4,male mar/wid,guarantor,4,car,31,bank,own,1,high qualif/self emp/mgmt,2,none,yes,good
460,no checking,15,delayed previously,business,1495,<100,>=7,3,male single,none,4,life insurance,37,none,own,1,skilled,1,none,yes,bad
461,0<=X<200,18,critical/other existing credit,furniture/equipment,4454,no known savings,<1,4,male single,none,1,car,31,none,own,1,skilled,1,none,yes,bad
462,no checking,6,existing paid,furniture/equipment,8358,<100,1<=X<4,4,male single,none,1,car,32,none,own,1,unskilled resident,1,none,yes,good
463,no checking,15,existing paid,new car,7966,>=1000,>=7,2,female div/dep/mar,none,2,real estate,37,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
464,<0,12,delayed previously,retraining,1602,<100,4<=X<7,1,male single,none,1,real estate,20,none,own,1,unskilled resident,1,none,yes,good
465,0<=X<200,11,critical/other existing credit,repairs,2569,no known savings,<1,2,male single,none,3,car,24,none,for free,2,skilled,1,yes,yes,good
466,0<=X<200,4,all paid,radio/tv,3972,<100,4<=X<7,3,female div/dep/mar,none,2,car,30,none,own,2,unskilled resident,1,yes,yes,good
467,<0,15,existing paid,radio/tv,6681,>=1000,1<=X<4,1,female div/dep/mar,none,3,real estate,35,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
468,no checking,12,critical/other existing credit,new car,6761,500<=X<1000,>=7,3,male div/sep,none,2,life insurance,38,stores,for free,1,skilled,2,yes,yes,good
469,no checking,9,existing paid,new car,2762,no known savings,1<=X<4,3,male single,none,2,life insurance,27,none,own,1,unemp/unskilled non res,1,yes,yes,good
470,0<=X<200,24,critical/other existing credit,radio/tv,719,<100,1<=X<4,4,male single,guarantor,1,real estate,30,none,for free,2,skilled,1,none,yes,good
471,0<=X<200,6,critical/other existing credit,radio/tv,276,100<=X<500,1<=X<4,4,male single,none,4,no known property,74,bank,own,1,unskilled resident,1,yes,yes,bad
472,0<=X<200,9,all paid,radio/tv,1823,100<=X<500,unemployed,4,male single,none,1,no known property,54,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad
473,<0,24,critical/other existing credit,furniture/equipment,1537,<100,<1,2,male mar/wid,none,4,real estate,50,none,rent,2,unskilled resident,2,yes,yes,good
474,0<=X<200,24,critical/other existing credit,radio/tv,6761,<100,>=7,1,male single,none,2,real estate,21,none,own,3,skilled,1,none,yes,good
475,<0,15,existing paid,new car,2825,no known savings,<1,3,male single,none,4,no known property,30,none,for free,1,skilled,1,none,yes,bad
476,no checking,18,delayed previously,used car,1386,500<=X<1000,1<=X<4,3,female div/dep/mar,none,4,car,24,none,rent,2,unskilled resident,1,none,yes,good
477,<0,18,delayed previously,new car,1049,<100,<1,2,male div/sep,none,4,no known property,24,none,own,1,skilled,2,none,yes,good
478,<0,20,delayed previously,radio/tv,4623,<100,1<=X<4,3,male single,none,1,no known property,25,bank,own,1,unskilled resident,1,yes,yes,good
479,no checking,12,existing paid,radio/tv,1198,500<=X<1000,4<=X<7,4,male single,none,2,life insurance,51,bank,own,1,skilled,1,none,yes,bad
480,no checking,30,existing paid,new car,1795,<100,1<=X<4,4,female div/dep/mar,none,2,life insurance,48,none,for free,1,skilled,2,none,yes,good
481,<0,24,no credits/all paid,new car,4796,<100,>=7,1,female div/dep/mar,none,4,life insurance,57,none,own,2,skilled,1,yes,yes,good
482,<0,27,existing paid,new car,3414,500<=X<1000,1<=X<4,4,male div/sep,none,4,no known property,29,none,rent,1,high qualif/self emp/mgmt,1,none,yes,good
483,0<=X<200,6,existing paid,radio/tv,4788,<100,>=7,4,male single,none,4,real estate,29,none,own,2,skilled,1,none,yes,good
484,<0,14,existing paid,new car,2764,<100,1<=X<4,2,male single,none,1,real estate,26,bank,own,1,skilled,1,none,yes,bad
485,0<=X<200,30,existing paid,furniture/equipment,3213,<100,1<=X<4,4,male single,none,1,car,53,none,for free,1,skilled,1,none,yes,good
486,no checking,12,existing paid,furniture/equipment,1823,no known savings,4<=X<7,2,male single,none,3,no known property,46,none,own,2,skilled,1,yes,yes,good
487,<0,48,existing paid,new car,4308,<100,<1,4,male single,none,4,real estate,24,none,own,2,unskilled resident,1,yes,yes,good
488,no checking,26,no credits/all paid,used car,7882,<100,1<=X<4,1,female div/dep/mar,none,4,car,74,bank,own,1,unemp/unskilled non res,2,none,yes,good
489,<0,24,critical/other existing credit,new car,2424,no known savings,1<=X<4,4,female div/dep/mar,none,3,car,26,none,own,1,skilled,1,none,yes,good
490,0<=X<200,24,critical/other existing credit,radio/tv,7485,<100,>=7,4,female div/dep/mar,none,4,no known property,54,bank,own,2,skilled,1,none,yes,bad
491,<0,9,delayed previously,radio/tv,2073,>=1000,<1,2,male single,none,2,car,34,none,rent,1,unskilled resident,1,none,yes,good
492,0<=X<200,21,critical/other existing credit,furniture/equipment,1239,100<=X<500,1<=X<4,1,female div/dep/mar,none,4,life insurance,29,none,own,1,unskilled resident,1,yes,yes,bad
493,no checking,12,existing paid,radio/tv,2406,100<=X<500,4<=X<7,4,male mar/wid,none,4,real estate,30,bank,rent,1,skilled,1,none,yes,good
494,<0,6,critical/other existing credit,furniture/equipment,2320,100<=X<500,1<=X<4,3,male mar/wid,guarantor,4,life insurance,63,none,own,1,skilled,1,none,yes,good
495,0<=X<200,15,critical/other existing credit,used car,3578,<100,>=7,4,male single,none,3,life insurance,43,bank,own,2,skilled,1,none,yes,good
496,no checking,24,existing paid,furniture/equipment,1287,<100,>=7,4,female div/dep/mar,none,1,no known property,35,none,for free,1,skilled,1,none,yes,bad
497,0<=X<200,36,delayed previously,new car,3711,<100,>=7,4,female div/dep/mar,none,4,life insurance,36,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,good
498,no checking,24,critical/other existing credit,retraining,2142,<100,4<=X<7,2,female div/dep/mar,none,1,car,24,none,own,1,unskilled resident,1,yes,yes,good
499,0<=X<200,24,all paid,business,731,<100,4<=X<7,2,male single,none,4,life insurance,37,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
500,no checking,9,existing paid,radio/tv,1858,<100,1<=X<4,3,female div/dep/mar,none,4,real estate,36,none,rent,2,skilled,1,yes,yes,good
501,>=200,54,critical/other existing credit,radio/tv,1264,<100,<1,2,female div/dep/mar,guarantor,4,car,31,bank,own,3,unemp/unskilled non res,1,none,yes,good
502,no checking,30,existing paid,radio/tv,1236,<100,1<=X<4,1,male single,none,4,car,33,none,own,1,skilled,1,none,yes,bad
503,<0,9,delayed previously,new car,1291,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,37,bank,own,1,unskilled resident,1,yes,yes,good
504,no checking,24,delayed previously,new car,1967,no known savings,>=7,4,male single,none,1,real estate,27,none,own,1,skilled,1,yes,yes,good
505,no checking,18,existing paid,furniture/equipment,5129,<100,1<=X<4,3,male mar/wid,guarantor,4,real estate,20,none,own,2,unskilled resident,1,none,yes,good
506,no checking,9,delayed previously,furniture/equipment,4153,<100,>=7,3,male single,none,2,no known property,31,bank,own,2,unemp/unskilled non res,1,yes,no,bad
507,0<=X<200,42,critical/other existing credit,radio/tv,1374,<100,unemployed,2,male single,none,1,life insurance,30,none,own,1,unskilled resident,1,yes,yes,good
508,0<=X<200,15,existing paid,radio/tv,3186,<100,<1,1,female div/dep/mar,none,2,car,44,none,rent,2,skilled,1,yes,yes,good
509,0<=X<200,15,critical/other existing credit,used car,1410,<100,1<=X<4,1,female div/dep/mar,none,4,car,60,none,own,1,skilled,1,none,yes,good
510,>=200,27,no credits/all paid,furniture/equipment,2134,<100,>=7,1,male single,none,2,real estate,48,none,own,2,unskilled resident,1,none,yes,good
511,no checking,18,delayed previously,furniture/equipment,3878,100<=X<500,>=7,4,male mar/wid,guarantor,2,real estate,30,stores,own,2,skilled,1,none,yes,good
512,0<=X<200,10,critical/other existing credit,radio/tv,1299,<100,>=7,2,female div/dep/mar,none,4,real estate,36,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
513,0<=X<200,10,delayed previously,new car,654,<100,unemployed,2,male single,none,4,no known property,23,none,own,1,skilled,1,none,yes,good
514,<0,60,critical/other existing credit,furniture/equipment,1203,no known savings,4<=X<7,2,male single,co applicant,3,real estate,24,none,for free,1,skilled,1,yes,yes,good
515,0<=X<200,36,existing paid,education,3812,<100,>=7,4,male single,none,2,real estate,35,none,own,1,skilled,1,none,yes,bad
516,no checking,6,existing paid,new car,1559,no known savings,4<=X<7,2,female div/dep/mar,none,4,life insurance,25,none,own,1,high qualif/self emp/mgmt,2,yes,yes,good
517,<0,6,existing paid,furniture/equipment,2746,<100,1<=X<4,2,male single,none,2,car,23,bank,own,2,high qualif/self emp/mgmt,1,none,yes,bad
518,>=200,12,no credits/all paid,radio/tv,2241,<100,1<=X<4,4,male single,none,3,real estate,30,none,own,2,unskilled resident,1,none,yes,good
519,0<=X<200,27,existing paid,radio/tv,4439,no known savings,>=7,2,male single,none,3,car,36,none,own,1,skilled,1,yes,yes,good
520,<0,24,delayed previously,education,618,no known savings,1<=X<4,4,male mar/wid,none,2,real estate,38,none,for free,1,skilled,1,yes,yes,good
521,0<=X<200,12,critical/other existing credit,radio/tv,1295,<100,>=7,3,female div/dep/mar,none,2,car,25,none,own,1,skilled,2,none,yes,good
522,>=200,6,no credits/all paid,furniture/equipment,1736,<100,4<=X<7,4,male mar/wid,none,4,car,35,none,own,2,skilled,1,yes,yes,good
523,<0,36,all paid,new car,1126,<100,4<=X<7,2,male single,none,3,car,28,none,own,1,skilled,1,none,yes,good
524,no checking,18,critical/other existing credit,used car,4280,<100,1<=X<4,4,male mar/wid,none,4,no known property,25,none,own,2,skilled,1,none,yes,bad
525,<0,18,existing paid,radio/tv,8335,<100,<1,2,female div/dep/mar,none,4,real estate,33,bank,own,2,unskilled resident,1,yes,yes,good
526,<0,12,critical/other existing credit,used car,1364,no known savings,>=7,4,female div/dep/mar,none,1,no known property,32,bank,own,1,skilled,1,yes,yes,good
527,0<=X<200,6,existing paid,radio/tv,2273,<100,<1,2,male single,none,3,no known property,28,none,own,1,skilled,2,yes,yes,good
528,0<=X<200,21,existing paid,new car,1246,100<=X<500,>=7,2,male single,none,2,real estate,63,none,own,2,skilled,1,yes,yes,bad
529,no checking,28,existing paid,business,3430,<100,1<=X<4,4,female div/dep/mar,none,2,car,25,none,own,1,skilled,2,none,yes,good
530,0<=X<200,24,existing paid,radio/tv,1449,<100,1<=X<4,1,male mar/wid,none,4,real estate,34,none,own,2,skilled,1,none,yes,good
531,0<=X<200,9,existing paid,education,1164,<100,1<=X<4,3,male single,none,2,no known property,25,none,rent,1,skilled,1,yes,yes,good
532,<0,48,existing paid,radio/tv,2764,<100,>=7,4,male div/sep,none,2,car,50,none,own,2,skilled,1,none,yes,good
533,no checking,18,critical/other existing credit,radio/tv,3612,no known savings,>=7,3,female div/dep/mar,none,4,no known property,33,bank,own,2,skilled,1,yes,yes,bad
534,<0,12,existing paid,furniture/equipment,7629,<100,1<=X<4,2,male mar/wid,none,2,real estate,21,none,own,1,skilled,1,yes,yes,bad
535,no checking,12,critical/other existing credit,radio/tv,2728,<100,1<=X<4,4,male single,none,4,life insurance,32,none,own,3,skilled,1,yes,yes,good
536,0<=X<200,24,delayed previously,radio/tv,4297,<100,1<=X<4,2,male single,none,2,real estate,31,none,own,1,skilled,2,none,yes,good
537,no checking,12,critical/other existing credit,new car,5954,<100,>=7,1,male single,none,2,no known property,22,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
538,no checking,36,existing paid,used car,6199,<100,unemployed,2,male mar/wid,none,4,car,57,none,own,2,skilled,1,yes,yes,good
539,0<=X<200,24,critical/other existing credit,new car,3566,>=1000,<1,4,male mar/wid,none,4,real estate,38,none,rent,1,skilled,1,none,yes,good
540,<0,18,critical/other existing credit,used car,9277,500<=X<1000,1<=X<4,4,male single,none,4,real estate,51,none,own,2,skilled,1,none,yes,good
541,0<=X<200,36,no credits/all paid,business,719,<100,<1,4,male mar/wid,none,4,car,29,none,own,1,unskilled resident,1,none,yes,good
542,no checking,24,existing paid,furniture/equipment,1163,<100,<1,4,male single,none,3,real estate,28,none,own,1,skilled,1,yes,yes,good
543,<0,36,delayed previously,radio/tv,522,<100,>=7,4,female div/dep/mar,none,2,life insurance,55,none,own,1,skilled,2,none,yes,good
544,no checking,15,critical/other existing credit,business,9572,<100,unemployed,4,male single,none,4,car,45,none,own,2,skilled,1,yes,yes,good
545,0<=X<200,39,all paid,radio/tv,4380,<100,<1,2,female div/dep/mar,none,4,real estate,29,bank,rent,2,skilled,1,yes,yes,bad
546,0<=X<200,15,critical/other existing credit,other,8386,no known savings,1<=X<4,2,female div/dep/mar,none,2,real estate,33,none,rent,2,high qualif/self emp/mgmt,1,yes,yes,good
547,<0,10,critical/other existing credit,furniture/equipment,1424,<100,4<=X<7,4,male mar/wid,none,2,life insurance,36,bank,own,2,skilled,1,none,yes,good
548,no checking,24,existing paid,domestic appliance,5801,100<=X<500,1<=X<4,4,male single,none,2,car,63,none,own,1,unskilled resident,2,yes,yes,bad
549,0<=X<200,36,existing paid,business,3676,<100,<1,2,female div/dep/mar,none,1,real estate,27,none,for free,2,high qualif/self emp/mgmt,2,yes,yes,good
550,no checking,6,no credits/all paid,used car,1493,no known savings,>=7,3,male single,none,4,car,34,none,own,1,unskilled resident,1,none,yes,bad
551,<0,36,critical/other existing credit,business,1925,<100,>=7,2,female div/dep/mar,none,4,no known property,24,bank,own,1,skilled,1,yes,yes,good
552,no checking,12,existing paid,radio/tv,7511,100<=X<500,1<=X<4,4,male single,none,2,real estate,28,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
553,0<=X<200,18,existing paid,radio/tv,1544,100<=X<500,1<=X<4,3,male single,none,1,real estate,55,none,own,2,skilled,1,none,yes,bad
554,<0,27,existing paid,other,3512,no known savings,4<=X<7,4,male single,none,2,car,20,none,own,2,skilled,1,none,yes,good
555,0<=X<200,12,existing paid,radio/tv,3780,<100,1<=X<4,2,female div/dep/mar,none,4,car,40,none,own,2,unskilled resident,1,none,yes,bad
556,0<=X<200,12,critical/other existing credit,used car,3617,no known savings,>=7,3,male single,none,3,car,26,none,own,1,skilled,1,yes,yes,bad
557,no checking,18,critical/other existing credit,furniture/equipment,2483,<100,1<=X<4,3,male single,co applicant,2,car,57,none,own,1,skilled,1,yes,yes,good
558,0<=X<200,14,existing paid,radio/tv,7127,no known savings,>=7,2,female div/dep/mar,none,4,life insurance,36,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
559,<0,12,no credits/all paid,repairs,959,no known savings,4<=X<7,1,male single,none,3,life insurance,23,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
560,no checking,18,critical/other existing credit,furniture/equipment,1258,<100,4<=X<7,2,male single,none,4,car,42,bank,rent,1,skilled,1,none,yes,good
561,<0,15,existing paid,business,4297,<100,1<=X<4,2,male single,none,1,real estate,28,none,for free,2,skilled,1,none,yes,good
562,>=200,6,all paid,repairs,5371,<100,4<=X<7,3,male single,co applicant,4,no known property,25,none,own,3,high qualif/self emp/mgmt,1,yes,yes,good
563,<0,42,critical/other existing credit,radio/tv,3556,<100,unemployed,4,female div/dep/mar,none,4,life insurance,45,none,own,1,unskilled resident,1,none,yes,bad
564,0<=X<200,48,existing paid,radio/tv,3914,100<=X<500,4<=X<7,3,male single,none,3,life insurance,24,stores,for free,1,skilled,1,none,yes,bad
565,0<=X<200,9,existing paid,new car,5248,100<=X<500,4<=X<7,4,female div/dep/mar,none,4,no known property,46,stores,own,2,skilled,1,none,yes,good
566,no checking,12,delayed previously,furniture/equipment,2579,<100,<1,2,female div/dep/mar,co applicant,2,real estate,34,none,rent,3,high qualif/self emp/mgmt,1,none,yes,good
567,0<=X<200,12,critical/other existing credit,used car,781,>=1000,1<=X<4,4,female div/dep/mar,none,1,real estate,49,bank,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
568,<0,36,critical/other existing credit,radio/tv,6416,<100,1<=X<4,4,male single,none,2,car,24,none,for free,2,unskilled resident,2,yes,yes,good
569,no checking,36,existing paid,furniture/equipment,6836,<100,>=7,4,male single,none,2,no known property,44,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad
570,0<=X<200,18,critical/other existing credit,radio/tv,1953,<100,1<=X<4,4,female div/dep/mar,none,4,life insurance,55,none,for free,2,skilled,1,none,yes,good
571,>=200,18,existing paid,radio/tv,2679,500<=X<1000,>=7,4,female div/dep/mar,co applicant,3,no known property,49,none,own,1,high qualif/self emp/mgmt,2,none,yes,bad
572,<0,6,critical/other existing credit,radio/tv,2197,<100,<1,4,male single,none,4,car,49,none,own,1,skilled,1,none,yes,good
573,no checking,39,existing paid,education,5096,no known savings,4<=X<7,1,female div/dep/mar,none,1,no known property,37,bank,own,2,skilled,1,none,yes,good
574,no checking,24,existing paid,new car,8978,no known savings,1<=X<4,1,female div/dep/mar,none,3,life insurance,27,none,rent,2,high qualif/self emp/mgmt,1,none,yes,bad
575,no checking,18,existing paid,domestic appliance,2603,no known savings,1<=X<4,2,male mar/wid,none,2,life insurance,56,none,own,1,skilled,1,yes,yes,bad
576,<0,36,critical/other existing credit,business,3441,no known savings,4<=X<7,4,male single,none,2,car,35,none,own,1,skilled,2,none,yes,good
577,no checking,48,existing paid,business,7166,100<=X<500,<1,4,male single,none,2,real estate,23,none,own,2,skilled,1,none,yes,good
578,no checking,18,existing paid,furniture/equipment,448,>=1000,>=7,4,female div/dep/mar,guarantor,4,no known property,37,bank,own,1,skilled,1,yes,yes,good
579,0<=X<200,12,critical/other existing credit,furniture/equipment,2483,no known savings,1<=X<4,1,male mar/wid,none,1,real estate,33,none,own,1,skilled,1,yes,yes,good
580,0<=X<200,48,critical/other existing credit,new car,1927,no known savings,>=7,4,male single,none,4,car,24,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
581,0<=X<200,12,existing paid,radio/tv,3527,<100,>=7,4,male single,guarantor,2,life insurance,34,none,for free,1,skilled,1,none,yes,bad
582,<0,12,critical/other existing credit,new car,6229,no known savings,<1,4,male single,none,4,life insurance,60,none,own,1,skilled,1,none,yes,bad
583,<0,9,delayed previously,new car,4151,100<=X<500,<1,4,male single,none,2,no known property,50,stores,own,1,skilled,1,none,yes,good
584,0<=X<200,36,existing paid,used car,1553,100<=X<500,unemployed,3,female div/dep/mar,none,4,no known property,53,none,own,1,skilled,1,none,yes,bad
585,no checking,15,all paid,used car,14421,<100,1<=X<4,3,male single,none,1,car,26,none,own,2,skilled,1,yes,yes,good
586,no checking,12,no credits/all paid,furniture/equipment,1372,no known savings,<1,4,female div/dep/mar,none,1,real estate,51,none,rent,2,skilled,1,none,yes,good
587,>=200,4,existing paid,new car,960,<100,1<=X<4,4,female div/dep/mar,co applicant,4,real estate,42,stores,own,1,high qualif/self emp/mgmt,1,none,yes,good
588,no checking,24,existing paid,new car,1505,100<=X<500,1<=X<4,2,male single,none,3,real estate,66,none,rent,1,skilled,1,yes,yes,good
589,<0,14,existing paid,radio/tv,3275,<100,1<=X<4,2,male single,none,4,life insurance,25,none,own,1,high qualif/self emp/mgmt,1,none,no,good
590,>=200,12,existing paid,radio/tv,6078,>=1000,4<=X<7,4,male div/sep,none,4,car,24,bank,own,2,skilled,1,none,yes,good
591,<0,48,existing paid,radio/tv,4811,100<=X<500,1<=X<4,4,male div/sep,none,4,no known property,36,bank,own,1,skilled,1,none,yes,good
592,0<=X<200,18,existing paid,new car,1037,<100,>=7,4,female div/dep/mar,co applicant,2,car,59,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
593,<0,9,existing paid,new car,2022,no known savings,1<=X<4,1,female div/dep/mar,none,4,real estate,25,none,rent,1,unskilled resident,1,none,yes,good
594,>=200,12,critical/other existing credit,furniture/equipment,918,100<=X<500,1<=X<4,4,female div/dep/mar,none,1,no known property,27,none,rent,2,high qualif/self emp/mgmt,1,none,yes,good
595,>=200,12,existing paid,new car,11998,100<=X<500,<1,4,male single,none,4,real estate,31,none,rent,1,skilled,1,none,yes,good
596,no checking,6,delayed previously,radio/tv,6458,<100,<1,4,male single,none,2,life insurance,34,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes,bad
597,<0,24,existing paid,business,7374,<100,1<=X<4,2,male single,none,1,life insurance,37,none,own,1,skilled,1,none,yes,good
598,no checking,14,existing paid,new car,4679,<100,<1,4,male single,none,4,real estate,58,none,for free,1,skilled,1,yes,no,good
599,>=200,24,existing paid,radio/tv,1503,no known savings,<1,4,female div/dep/mar,none,1,life insurance,48,none,own,1,skilled,2,yes,yes,good
600,0<=X<200,12,existing paid,used car,2171,<100,<1,2,female div/dep/mar,guarantor,2,real estate,49,none,own,1,skilled,1,yes,yes,good
601,0<=X<200,6,delayed previously,new car,6842,no known savings,>=7,4,female div/dep/mar,none,2,life insurance,43,none,own,1,skilled,1,none,no,good
602,no checking,42,existing paid,furniture/equipment,3949,100<=X<500,>=7,4,male single,none,4,car,32,none,rent,2,high qualif/self emp/mgmt,1,none,yes,bad
603,no checking,7,critical/other existing credit,used car,1913,<100,>=7,4,male single,none,4,no known property,44,none,own,1,unskilled resident,1,none,yes,bad
604,<0,24,critical/other existing credit,radio/tv,2249,<100,<1,1,female div/dep/mar,guarantor,2,life insurance,35,none,own,1,skilled,1,none,yes,good
605,no checking,12,critical/other existing credit,new car,7308,100<=X<500,4<=X<7,4,male mar/wid,none,2,car,53,none,own,1,skilled,1,yes,yes,good
606,0<=X<200,12,existing paid,new car,652,>=1000,>=7,4,male single,co applicant,2,car,30,bank,own,1,skilled,1,yes,yes,good
607,<0,36,existing paid,business,639,500<=X<1000,>=7,4,male single,none,3,no known property,36,none,own,1,skilled,2,none,no,good
608,0<=X<200,45,critical/other existing credit,new car,1469,<100,1<=X<4,4,male single,none,2,life insurance,30,none,rent,2,skilled,1,yes,yes,good
609,0<=X<200,16,critical/other existing credit,other,2122,<100,unemployed,4,male single,none,4,life insurance,28,none,own,1,skilled,1,none,no,good
610,<0,12,existing paid,repairs,2580,no known savings,>=7,4,female div/dep/mar,none,2,real estate,40,none,rent,2,skilled,1,yes,yes,good
611,0<=X<200,12,existing paid,furniture/equipment,1928,100<=X<500,4<=X<7,3,male single,none,2,life insurance,28,none,own,1,unskilled resident,1,none,yes,bad
612,0<=X<200,36,existing paid,new car,2133,<100,1<=X<4,3,female div/dep/mar,none,2,no known property,53,none,own,1,skilled,2,none,yes,bad
613,>=200,24,existing paid,business,3186,<100,<1,4,female div/dep/mar,none,1,car,29,bank,own,2,skilled,1,none,yes,bad
614,<0,21,existing paid,business,1935,<100,1<=X<4,4,male mar/wid,none,4,no known property,47,bank,own,2,skilled,2,yes,yes,good
615,no checking,21,delayed previously,radio/tv,2957,<100,1<=X<4,3,female div/dep/mar,none,3,no known property,44,none,rent,2,skilled,1,yes,yes,good
616,>=200,27,critical/other existing credit,new car,1445,<100,>=7,4,male single,none,3,no known property,38,bank,for free,1,skilled,1,none,yes,good
617,no checking,28,no credits/all paid,furniture/equipment,2327,<100,>=7,4,female div/dep/mar,none,4,real estate,24,none,own,2,high qualif/self emp/mgmt,1,none,yes,good
618,no checking,48,existing paid,used car,1092,no known savings,>=7,3,male single,none,3,real estate,51,none,own,2,skilled,1,none,yes,good
619,no checking,15,all paid,new car,433,no known savings,<1,3,male mar/wid,none,4,car,27,none,own,1,skilled,1,yes,yes,bad
620,0<=X<200,18,critical/other existing credit,radio/tv,6742,<100,>=7,1,male mar/wid,none,4,real estate,54,none,rent,2,unemp/unskilled non res,1,yes,yes,bad
621,<0,12,delayed previously,used car,1274,>=1000,1<=X<4,3,male single,co applicant,2,life insurance,48,none,for free,2,high qualif/self emp/mgmt,1,none,yes,good
622,0<=X<200,9,critical/other existing credit,education,2320,100<=X<500,4<=X<7,1,male single,none,4,car,23,none,own,2,skilled,1,none,yes,good
623,no checking,30,critical/other existing credit,radio/tv,1313,<100,<1,2,female div/dep/mar,none,2,car,27,none,rent,1,skilled,1,none,yes,bad
624,no checking,36,delayed previously,new car,2613,<100,4<=X<7,4,male single,none,4,car,39,none,own,1,skilled,1,yes,yes,good
625,no checking,6,critical/other existing credit,radio/tv,2346,<100,1<=X<4,2,female div/dep/mar,none,4,no known property,63,bank,own,2,skilled,1,yes,yes,bad
626,no checking,15,all paid,furniture/equipment,2896,no known savings,<1,2,male single,none,2,car,27,none,own,1,unskilled resident,1,yes,yes,good
627,0<=X<200,15,existing paid,new car,1331,<100,>=7,4,male single,none,4,car,40,none,own,2,skilled,1,none,yes,good
628,<0,12,no credits/all paid,radio/tv,3060,500<=X<1000,>=7,3,male single,none,2,car,34,none,rent,2,skilled,1,none,yes,bad
629,0<=X<200,24,critical/other existing credit,furniture/equipment,2366,no known savings,4<=X<7,1,male single,none,4,life insurance,27,stores,own,2,skilled,1,none,yes,good
630,no checking,12,delayed previously,used car,4583,100<=X<500,4<=X<7,4,female div/dep/mar,none,2,real estate,32,none,rent,1,unskilled resident,1,none,yes,bad
631,<0,24,existing paid,business,1913,<100,1<=X<4,4,male single,none,3,real estate,55,none,own,1,skilled,2,none,yes,good
632,0<=X<200,18,critical/other existing credit,business,2320,<100,1<=X<4,2,female div/dep/mar,none,1,car,26,none,own,2,skilled,2,none,yes,good
633,no checking,30,all paid,furniture/equipment,1038,<100,<1,4,male single,none,2,real estate,44,none,own,1,skilled,1,yes,yes,bad
634,<0,9,existing paid,used car,5943,<100,>=7,4,male single,co applicant,1,car,35,none,own,1,skilled,1,yes,yes,good
635,no checking,6,existing paid,repairs,2348,<100,4<=X<7,4,male single,none,4,life insurance,37,none,for free,2,high qualif/self emp/mgmt,1,none,yes,good
636,0<=X<200,6,critical/other existing credit,new car,276,no known savings,<1,2,female div/dep/mar,none,2,car,37,none,own,1,skilled,2,yes,yes,good
637,0<=X<200,12,critical/other existing credit,furniture/equipment,2323,no known savings,1<=X<4,4,male div/sep,none,4,car,35,none,own,1,unskilled resident,1,none,yes,good
638,0<=X<200,18,existing paid,furniture/equipment,1163,no known savings,>=7,3,male single,guarantor,4,car,32,none,own,1,skilled,1,yes,yes,good
639,<0,24,all paid,new car,2299,<100,1<=X<4,1,male single,none,4,no known property,34,none,rent,1,skilled,2,none,yes,good
640,<0,12,existing paid,radio/tv,6313,<100,1<=X<4,2,female div/dep/mar,none,4,no known property,26,none,own,1,skilled,1,yes,yes,bad
